日付,投稿時間,投稿文,カテゴリ,トピックタグ,記事URL,画像URL,ステータス,投稿ID,メモ
2026-04-01,07:00,"新年度の朝、「今年こそ変わりたい」と思ってる人、多いはず。でもね、変わるって大げさなことじゃなくて、昨日までの自分にひとつだけ新しい習慣を足すこと。僕は去年の4月、毎朝10分だけAIと対話する時間を作った。たったそれだけで、仕事の質が劇的に変わった。新年度のスタートに「AIを相棒にする」という選択肢、わりと本気でおすすめです。

詳しくはこちら👇",AI活用,AIネイティブな働き方,https://takahiro-motoyama.vercel.app/blog/ai-native-mindset,,下書き,,逆説型
2026-04-02,20:00,"あなたは最近、AIに「正しい質問」を投げられていますか？ ChatGPTに「いい感じにして」と頼んで微妙な結果が返ってきた経験、ありませんか？ 実はAI時代に最も価値が上がるスキルは「質問力」です。答えはAIが出してくれる。でも、どんな問いを立てるかは人間にしかできない。あなたの「問い」は、どれくらい磨かれていますか？

続きはブログで👇",AI活用,AI時代の質問力,https://takahiro-motoyama.vercel.app/blog/ai-era-question-power,,下書き,,質問型
2026-04-03,07:00,"【転職前の僕】毎日終電、週末も仕事のことが頭から離れない。「これが社会人ってもんだ」と思い込んでた。【転職後の僕】17時に仕事を終えて、副業でブログを書いて、AIの勉強をする余裕がある。年収は下がったけど、人生の満足度は比較にならない。30代のキャリアチェンジ、怖いけど「やらない後悔」の方がずっと大きかった。

僕の体験談はこちら👇",キャリア,30代キャリアチェンジ,https://takahiro-motoyama.vercel.app/blog/30s-career-change-guide,,下書き,,体験談型
2026-04-06,20:00,"月曜の朝、「また1週間が始まる…」って憂鬱になること、ありますよね。僕もそうだった。でもある日気づいたんです。月曜が嫌なんじゃなくて、「自分でコントロールできてない感覚」が嫌だったんだと。ポモドーロ・テクニックを使い始めてから、25分単位で自分の時間を取り戻せるようになった。月曜が怖くなくなる、小さな仕組みの話です。

詳しくはこちら👇",生産性,ポモドーロテクニック,https://takahiro-motoyama.vercel.app/blog/pomodoro-technique,,下書き,,共感型
2026-04-07,07:00,"プロンプトの書き方、3つのコツ👇

① 役割を与える → 「あなたはプロの編集者です」と前置きするだけで精度が激変
② 制約を明示する → 文字数・トーン・ターゲットを具体的に指定
③ 例を見せる → 「こんな感じで」と1つサンプルを添えるだけでOK

この3つを押さえるだけで、AIの回答が「使えないやつ」から「頼れる相棒」に変わります。騙されたと思って試してみて。

もっと詳しく👇",AI活用,プロンプト実践ガイド,https://takahiro-motoyama.vercel.app/blog/prompt-practice-guide,,下書き,,Tips型
2026-04-08,20:00,"「AIに仕事を奪われる」とみんな言う。でも実際に起きてるのは「AIを使える人に仕事が集まる」という現象。僕の周りでも、AI活用してる営業マンは提案書作成が3倍速くなって、空いた時間で新規開拓してる。つまりAIは仕事を奪うんじゃなくて、格差を広げるツール。使う側に回るか、使われる側に回るか。その分岐点が、まさに今。

詳しくはブログで👇",AI活用,AI時代のキャリア戦略,https://takahiro-motoyama.vercel.app/blog/ai-era-career-strategy,,下書き,,逆説型
2026-04-09,07:00,"「コーチングって何するの？」ってよく聞かれます。カウンセリングとも違うし、コンサルとも違う。一番近いのは「壁打ち相手」かな。答えを教えてもらうんじゃなくて、自分の中にある答えを引き出してもらう。僕が初めてコーチングを受けたとき、「そんなこと思ってたんだ、自分」って驚いた。あなたの中にも、まだ言語化できてない本音、眠ってませんか？

コーチングの基本はこちら👇",コーチング,コーチングとは,https://takahiro-motoyama.vercel.app/blog/what-is-coaching,,下書き,,質問型
2026-04-10,20:00,"【Before】副業したいけど何から始めればいいかわからない。スキルもないし、時間もない。SNSで成功者を見て焦るだけの日々。【After】営業スキルを活かしてコンサル型の副業をスタート。最初の月は3万円。でも「自分の力で稼いだ3万円」は会社員の30万円より嬉しかった。副業は特別な才能じゃなくて、今ある武器の使い方次第。

ロードマップはこちら👇",キャリア,営業スキル副業,https://takahiro-motoyama.vercel.app/blog/sales-side-hustle-roadmap,,下書き,,Before After型
2026-04-13,07:00,"「頑張ってるのに成果が出ない」とき、一番しんどいですよね。僕も去年、ブログを半年書いてPVがほぼゼロだった時期がある。でも「成果が出ない＝間違ってる」ではなかった。ただ成果が見えるまでのタイムラグがあっただけ。成長曲線は直線じゃなくて、ある日突然カーブする。今しんどい人、もうちょっとだけ続けてみませんか。

詳しくはこちら👇",マインドセット,グロースマインドセット,https://takahiro-motoyama.vercel.app/blog/growth-mindset,,下書き,,共感型
2026-04-14,20:00,"「決断疲れ」って知ってますか？ 実は人間が1日にできる意思決定の数には限界があるんです。

対策3選👇
① 朝のルーティンを固定する（服・朝食は前日に決めておく）
② 重要な判断は午前中に集中させる
③ 「迷ったらやる」ルールを1つ決めておく

ジョブズが毎日同じ服を着てた理由、これだったんですよね。小さな決断を減らすだけで、仕事のパフォーマンスが驚くほど変わります。

もっと知りたい方は👇",生産性,決断疲れ対策,https://takahiro-motoyama.vercel.app/blog/decision-fatigue,,下書き,,リスト型
2026-04-15,07:00,"「完璧を目指すな、完了を目指せ」——これ、僕の人生を変えた一言です。ブログの1記事目を公開するのに2ヶ月かかった。完璧にしようとして。でもその2ヶ月で学んだことより、公開後の読者の反応から学んだことの方が100倍多かった。80%でリリースして、フィードバックで磨く。AI時代のスピード感には、この考え方が不可欠。

詳しくはこちら👇",マインドセット,Done is Better than Perfect,https://takahiro-motoyama.vercel.app/blog/done-is-better,,下書き,,数字型
2026-04-16,20:00,"もし1年前の自分にアドバイスできるとしたら、何を伝えますか？ 僕なら「もっと早くAIを触れ」と言う。正直、最初は「こんなの使い物にならない」と思ってた。でも使い方を覚えた瞬間、世界が変わった。文章作成、リサーチ、アイデア出し、全部が加速した。1年前の自分に伝えたいことがある人は、それを今日から始めてみませんか？

AIキャンプの話はこちら👇",AI活用,AIソロキャンプ,https://takahiro-motoyama.vercel.app/blog/ai-solo-camp,,下書き,,質問型
2026-04-17,07:00,"【入社3年目の僕】このまま営業を続けるか、思い切って違う道に進むか。28歳、毎晩天井を見つめながら考えてた。【今の僕】あの時「違う道」を選んだから、今がある。怖かった。後悔するかもと思った。でも振り返ると、あの決断が人生で一番の「正解」だった。岐路に立ってる人に伝えたい。正解は選んだ後に自分で作るもの。

僕の28歳の話はこちら👇",キャリア,28歳キャリアの岐路,https://takahiro-motoyama.vercel.app/blog/28-career-crossroads,,下書き,,体験談型
